object_id,address,type,area,rooms,floor,build_year,cadastral_number,owner_ids
32,"г. Валаам, бул. Калинина, д. 8 к. 3/8, 705964",коммерческое,395.9,9,10,2008,92:13:2020480:71,23
33,"клх Плес, пер. Большой, д. 829 к. 421, 569092",дом,362.0,8,3,1960,51:87:3488628:18,"219,56"
34,"к. Сасово, пер. Болотный, д. 7, 431027",коммерческое,361.8,7,20,2017,47:68:9481739:87,300
35,"к. Крымск, пр. Прибрежный, д. 8 стр. 31, 727155",коммерческое,332.4,9,24,1977,65:67:4833486:62,59
36,"к. Ербогачен, бул. Локомотивный, д. 9 стр. 41, 370589",дом,219.7,2,11,2004,50:95:5276341:57,233
37,"ст. Усть-Илимск, пер. Дальний, д. 846, 691251",квартира,419.3,2,14,1962,57:26:2006313:85,"243,35"
38,"клх Томпа, алл. Саратовская, д. 96 к. 318, 225358",коммерческое,78.7,6,28,2004,16:46:6242022:55,"288,169"
39,"к. Каменск-Шахтинский, пер. Прохладный, д. 94 стр. 382, 995900",квартира,94.3,8,8,1963,54:81:7166651:24,260
40,"клх Чебаркуль, бул. Союзный, д. 1/8 к. 5, 364710",квартира,407.5,9,25,2021,13:87:5487028:13,294
41,"с. Стерлитамак, алл. 50 лет Октября, д. 65 к. 7, 588153",дом,188.5,3,28,1968,82:94:7724045:18,159
42,"к. Североморск, алл. Фестивальная, д. 746, 259532",квартира,378.1,4,13,2003,68:53:3640889:57,16
43,"с. Миасс, ул. Революционная, д. 9/8 к. 63, 047974",коммерческое,306.2,1,5,1970,89:16:2368710:44,167
44,"с. Данков, бул. Нефтяников, д. 6/1 к. 1/9, 584168",дом,311.4,7,9,1977,75:24:6791039:65,218
45,"ст. Юрюзань, пер. Стадионный, д. 71 стр. 6, 239868",коммерческое,340.2,1,8,2000,86:17:1128967:36,250
46,"г. Джейрах, наб. Монтажников, д. 3/9 стр. 65, 694958",квартира,386.8,5,11,1965,10:73:8225192:32,109
47,"с. Анадырь, наб. Рябиновая, д. 5/1 к. 5/4, 972896",коммерческое,130.5,9,27,1995,19:60:1709714:65,273
48,"г. Хоста, ул. Орловская, д. 775 стр. 46, 897028",дом,296.4,10,13,2003,47:24:7795314:12,40
49,"клх Сосногорск, пр. Матросова, д. 97 стр. 9, 497334",коммерческое,461.5,2,14,1963,41:65:7718433:77,"88,236"
50,"к. Лысьва, алл. Восьмого Марта, д. 8 стр. 9, 419866",коммерческое,183.0,6,25,1971,19:75:2913049:77,159
51,"к. Баксан, бул. Крестьянский, д. 8 к. 8, 384842",дом,369.1,3,8,1963,28:42:4309671:32,179
52,"п. Белогорск (Амур.), пер. Космический, д. 20 стр. 6/8, 208267",квартира,476.6,8,15,2022,84:67:6422534:90,39
53,"ст. Луховицы, наб. Привокзальная, д. 993 к. 326, 672400",квартира,245.1,5,26,1985,85:17:6904610:74,226
54,"к. Лодейное Поле, бул. Журавлева, д. 88 к. 4, 527420",дом,38.1,6,27,1986,19:92:2514923:88,237
55,"д. Калуга, пер. Кольцова, д. 9/6, 612275",дом,298.6,1,15,2023,93:34:6394323:87,197
56,"к. Орел, пр. Черемуховый, д. 5, 453017",квартира,236.3,6,23,1960,74:92:3895058:15,78
57,"с. Тверь, ш. Чехова, д. 445 стр. 82, 795687",дом,271.6,10,6,1996,57:46:7499771:62,225
58,"клх Шамары, пер. Волкова, д. 2, 088398",коммерческое,330.7,2,11,1962,81:96:7485471:46,27
59,"к. Тосно, ул. Высокая, д. 2/9 к. 1/8, 867908",дом,59.1,3,30,1994,49:93:7575963:26,77
60,"клх Апатиты, наб. Школьная, д. 29 к. 265, 170462",дом,288.3,6,27,1966,95:99:9831414:21,44
61,"к. Онега, ш. Репина, д. 2/9 к. 25, 868230",коммерческое,193.7,6,10,1973,37:53:9158272:34,217
62,"с. Урюпинск, пер. Воровского, д. 83 к. 3, 310690",квартира,57.0,2,17,2019,77:14:6649968:89,71
63,"г. Вологда, ул. Волкова, д. 730 стр. 4/9, 028439",квартира,97.9,10,26,1971,66:15:7893063:56,193
64,"п. Махачкала, бул. Черноморский, д. 5/5, 892687",дом,313.1,8,8,2018,40:49:8868776:34,122
65,"клх Омск, наб. Баумана, д. 3/5 стр. 3/9, 334270",дом,241.6,5,25,1998,74:77:8023963:30,293
66,"д. Туруханск, пр. Харьковский, д. 4, 175183",квартира,327.8,6,18,1963,76:25:5782563:20,"71,129"
67,"с. Шенкурск, ул. Станционная, д. 99 стр. 47, 403317",дом,454.5,3,27,2005,21:38:8568671:54,140
68,"с. Колпашево, наб. Запорожская, д. 8/9 стр. 5, 587717",дом,261.0,4,13,1960,57:38:1472908:50,"213,28"
69,"к. Мичуринск, ул. Черноморская, д. 50 к. 5/3, 536937",квартира,38.4,8,23,1967,70:67:1088100:20,"172,75"
70,"ст. Сунтар, бул. Папанина, д. 3/6 стр. 92, 280801",квартира,283.4,10,17,2004,24:46:4986941:48,111
71,"с. Джейрах, алл. Профсоюзная, д. 40 стр. 6/1, 700886",дом,326.7,10,15,1958,24:73:9993490:12,123
72,"д. Кырен, наб. Северная, д. 3/2 стр. 482, 984546",квартира,364.9,5,14,1950,88:55:5035998:83,295
73,"с. Сибай, алл. Космическая, д. 2 стр. 716, 870021",коммерческое,487.8,2,17,2019,74:74:1341153:59,44
74,"клх Надым, ш. Кубанское, д. 833 стр. 1, 489025",дом,141.8,1,12,1958,54:40:2739191:84,"23,199"
75,"д. Добрянка, ш. Розы Люксембург, д. 442 стр. 9/6, 218501",квартира,41.3,9,11,1972,97:69:9028420:90,171
76,"ст. Буденновск, пер. М.Горького, д. 1 к. 8, 358662",квартира,363.7,8,2,1987,35:15:4346548:15,70
77,"ст. Южно-Сахалинск, ш. Лазурное, д. 314 к. 3/7, 511047",коммерческое,211.1,9,16,1982,14:92:4206183:46,159
78,"г. Дагомыс, алл. Автомобилистов, д. 9/9, 101581",коммерческое,179.3,2,26,1997,65:61:8377556:59,25
79,"г. Люберцы, пр. Промышленный, д. 99 к. 36, 444721",дом,352.2,6,30,2016,44:20:8121922:20,96
80,"к. Раменское, пр. Магистральный, д. 5 к. 47, 124065",коммерческое,161.0,2,3,1991,94:47:6142147:67,93
81,"с. Наро-Фоминск, ш. Геологическое, д. 6 к. 67, 654793",квартира,351.1,6,15,1955,55:88:8297090:45,219
82,"к. Палана, ул. Крымская, д. 18 к. 4/8, 167243",квартира,342.2,7,12,2015,96:30:1522452:28,30
83,"клх Ревда (Сверд.), ул. Рылеева, д. 7/9 к. 9/1, 891135",квартира,52.3,6,12,1999,82:14:3574265:96,"225,18"
84,"д. Петропавловск-Камчатский, ш. Парижской Коммуны, д. 501 к. 98, 756798",дом,233.1,2,19,1967,77:56:7677903:50,190
85,"г. Старый Оскол, наб. Карбышева, д. 612, 573875",квартира,32.4,3,16,2016,59:81:2975701:43,128
86,"с. Семлячики, ул. Чкалова, д. 610 к. 923, 825867",квартира,498.3,5,23,2012,35:25:3277144:19,229
87,"клх Йошкар-Ола, бул. Космодемьянской, д. 1/4, 966033",квартира,409.0,6,22,1994,18:80:5871470:48,228
88,"д. Волоколамск, алл. Нефтяников, д. 4 стр. 2/5, 859696",коммерческое,127.6,4,26,1967,40:73:1440972:56,"90,186"
89,"к. Серов, алл. Строителей, д. 225 стр. 24, 528669",дом,405.8,9,5,1961,18:49:7680015:71,189
90,"с. Кажим, бул. Ангарский, д. 57 к. 62, 905072",коммерческое,55.4,6,21,1959,67:69:9679860:54,210
91,"д. Териберка, пр. Глинки, д. 7/8 стр. 3/2, 340438",коммерческое,302.1,3,14,2014,17:25:9692311:29,283
92,"ст. Серов, бул. Мая 1, д. 591 стр. 9, 783613",дом,468.7,4,12,2016,46:20:5204459:35,83
93,"с. Кулу, ш. Базарное, д. 2/4 к. 69, 292330",дом,80.1,5,20,2018,21:74:3829240:85,283
94,"д. Углич, наб. Гагарина, д. 5, 260422",коммерческое,319.8,10,11,2022,15:13:2362693:15,"79,88"
95,"клх Москва, МГУ, ш. Пирогова, д. 3/5, 671168",коммерческое,121.2,10,14,1953,73:90:5859883:92,"296,136"
96,"с. Сузун, пер. Центральный, д. 275 к. 4/7, 745458",коммерческое,214.9,8,3,1957,30:66:7972975:71,"248,126"
97,"ст. Нерчинск, ш. Сосновое, д. 117 стр. 827, 632424",коммерческое,89.0,6,24,1994,61:26:7216632:75,175
98,"к. Великие Луки, бул. Мелиоративный, д. 464 к. 2/2, 371293",квартира,243.9,5,15,1981,28:22:1849015:47,164
99,"г. Нерчинск, ш. Челюскинцев, д. 27, 611155",квартира,410.5,10,24,1990,34:30:9359508:75,"215,128"
100,"с. Далматово, бул. Волгоградский, д. 189 стр. 67, 269731",дом,31.1,7,17,2008,40:37:6920597:16,158
101,"ст. Горячинск, бул. Серова, д. 7 стр. 3, 413899",коммерческое,443.5,8,10,2018,11:23:8229768:27,254
102,"ст. Малоярославец, пер. Севастопольский, д. 5/1, 761379",дом,41.7,1,19,2021,34:56:5841933:19,"188,207"
103,"к. Мокшан, пр. Фадеева, д. 9, 710910",коммерческое,154.3,10,22,1965,26:22:7608607:57,231
104,"г. Билибино, пер. Лунный, д. 7/7 к. 388, 141832",коммерческое,470.7,3,7,2015,61:74:1675365:15,174
105,"д. Бологое, бул. Николаева, д. 40 к. 861, 421020",дом,269.3,3,20,2015,27:51:6344047:30,171
106,"к. Троицк (Моск.), ш. Большевистское, д. 35 стр. 2, 564814",коммерческое,181.5,9,18,2012,82:48:8967375:12,154
107,"с. Тихорецк, ул. Тюленина, д. 35 к. 2, 380003",дом,300.2,1,20,2010,43:93:4817541:16,57
108,"к. Орел, алл. Парковая, д. 4/6, 654195",коммерческое,321.9,10,25,1998,28:97:5063384:14,88
109,"п. Кизилюрт, ул. Юности, д. 574 стр. 2, 053494",квартира,29.1,6,14,1969,62:98:4420734:62,57
110,"к. Чокурдах, ш. Привольное, д. 12 к. 1/4, 050641",коммерческое,369.2,3,17,1976,81:51:9025733:77,242
111,"с. Сухиничи, алл. Заливная, д. 903, 571918",дом,457.8,6,18,1995,96:97:5435261:88,89
112,"г. Чулым, ул. Демьяна Бедного, д. 53 стр. 6, 557431",дом,287.9,4,10,1986,36:98:9204110:50,127
113,"ст. Чермоз, алл. Веселая, д. 87, 618537",коммерческое,151.3,2,19,2019,58:60:6790398:28,287
114,"к. Голицыно, алл. Свободы, д. 335, 356804",коммерческое,57.9,8,21,1982,71:37:4390138:78,148
115,"г. Пинега, пер. Ленский, д. 371 к. 400, 365199",коммерческое,150.4,2,20,1980,41:16:9909397:38,288
116,"г. Бодайбо, бул. Сурикова, д. 61, 070296",квартира,218.4,8,4,1967,10:80:3649811:62,27
117,"г. Онега, пр. Коллективный, д. 4 стр. 54, 209993",дом,332.3,5,11,1986,92:17:2500901:93,244
118,"с. Усть-Джегута, ул. Базарная, д. 7 к. 46, 806578",коммерческое,367.1,1,30,1972,63:32:1609681:60,274
119,"д. Тверь, пр. Просторный, д. 60 к. 50, 785932",коммерческое,481.8,5,29,1954,11:48:2800206:52,96
120,"клх Комсомольск-на-Амуре, пер. Весенний, д. 79 к. 3, 395590",коммерческое,257.1,3,28,2014,69:44:4234838:24,279
121,"д. Калач, пер. Некрасова, д. 17 к. 403, 870593",коммерческое,143.5,3,1,1993,47:82:4240708:32,235
122,"клх Ижевск, ул. Рабочая, д. 39 к. 285, 691545",дом,267.3,2,13,1962,33:27:9010350:51,208
123,"клх Сальск, пр. Крупской, д. 68 стр. 39, 442209",дом,133.1,5,11,1988,84:83:1191859:43,"4,134"
124,"п. Шахты, ш. Черноморское, д. 672 к. 635, 157043",квартира,340.5,8,10,1970,61:97:9430894:49,121
125,"к. Красноуральск, бул. Молодежный, д. 767, 676586",дом,315.0,4,5,2011,29:68:7268384:63,152
126,"ст. Чебоксары, ш. Хвойное, д. 27 стр. 640, 115262",коммерческое,405.0,4,25,1981,97:86:2373555:77,242
127,"к. Шадринск, пр. Совхозный, д. 3/7 стр. 20, 336884",квартира,460.3,2,2,2020,74:35:3514105:31,186
128,"п. Владикавказ, пр. Папанина, д. 60, 614973",дом,75.8,4,23,2024,72:21:9562677:67,267
129,"п. Зеленоград, наб. Широкая, д. 2/5 стр. 8/8, 186256",коммерческое,219.4,10,2,2021,69:96:6170227:12,"233,68"
130,"с. Балашов, пр. Вавилова, д. 4 к. 1, 115869",коммерческое,124.6,2,2,2004,54:99:2069713:79,2
131,"ст. Оса, пр. Шишкина, д. 57 стр. 960, 172233",квартира,157.8,3,25,1967,92:92:8052503:57,"36,242"
132,"с. Быково (метеост.), пр. Проезжий, д. 59 стр. 2, 686854",дом,200.3,9,5,1994,25:32:7594429:77,"196,230"
133,"ст. Юрюзань, пер. Маркса Карла, д. 362 стр. 219, 856467",квартира,383.0,5,15,2019,64:78:7363203:39,115
134,"п. Кыштым, алл. Короленко, д. 465 к. 674, 544471",квартира,152.3,2,2,2003,88:12:5037710:36,178
135,"к. Саров (Морд.), наб. Баумана, д. 437 к. 8/9, 082148",дом,306.9,1,8,1955,61:66:4931560:79,18
136,"ст. Троицко-Печорск, ул. Ангарская, д. 13 стр. 80, 534578",квартира,261.9,5,8,2023,50:83:6379867:40,29
137,"клх Архангельск, наб. Восьмого Марта, д. 3/8, 524140",коммерческое,270.2,7,10,1985,17:81:3938247:90,74
138,"п. Холмск, ш. Черноморское, д. 53, 800722",дом,42.5,6,21,1998,77:50:7984768:62,285
139,"к. Шилка, бул. Прохладный, д. 7/6 к. 5/4, 489691",квартира,382.1,8,8,1978,48:28:8768273:17,193
140,"д. Шадринск, наб. Победы, д. 671 стр. 6, 443283",коммерческое,274.4,7,8,1982,36:52:2326581:67,214
141,"клх Моршанск, алл. Заводская, д. 5/5 стр. 7/7, 993538",коммерческое,418.1,1,9,1998,96:87:1663497:19,"48,275"
142,"д. Малгобек, ш. Байкальское, д. 2, 248251",квартира,250.1,6,10,1951,37:34:2968239:71,287
143,"п. Меренга, ш. Толстого, д. 5 к. 8, 709991",квартира,285.0,5,13,2009,78:93:7027375:49,"105,204"
144,"д. Голицыно, пр. Победы, д. 1/3 стр. 63, 972521",дом,243.7,8,25,1990,36:57:6249960:62,263
145,"клх Ижевск, бул. Майский, д. 474 к. 39, 129666",коммерческое,90.0,5,18,2024,84:63:5952504:29,114
146,"с. Адлер, пер. Крымский, д. 1, 830033",дом,293.5,4,16,2020,93:97:6663388:42,118
147,"п. Волхов, пер. Фрунзе, д. 11 к. 5, 898562",коммерческое,328.0,8,15,1971,55:31:3348114:79,251
148,"к. Калач, ш. 50 лет ВЛКСМ, д. 333, 098215",коммерческое,479.5,9,2,1959,95:16:1107102:62,278
149,"клх Краснотурьинск, пер. Сосновый, д. 110 стр. 767, 847230",квартира,359.4,1,7,2014,68:57:2014184:89,119
150,"клх Вологда, пер. Просторный, д. 26 стр. 241, 393483",коммерческое,254.2,1,18,2020,62:11:1280618:77,248
151,"к. Железногорск(Курск.), пер. Минина, д. 67, 001197",дом,28.2,7,26,1972,23:22:9797727:29,275
152,"ст. Тихорецк, бул. Сельский, д. 4, 447012",дом,411.3,5,26,2000,20:57:7812009:68,270
153,"к. Мичуринск, бул. Пограничный, д. 300 к. 65, 941552",дом,348.3,2,21,1954,21:61:7362994:58,116
154,"с. Середниково, ш. Добролюбова, д. 7/3 к. 320, 697972",коммерческое,24.5,3,3,2013,65:92:6557798:82,29
155,"д. Арсеньев, ш. Мельничное, д. 8/2 стр. 8/1, 450899",квартира,130.3,10,16,1984,15:19:5703878:79,"49,271"
156,"д. Троицк (Моск.), бул. Кубанский, д. 4/8 стр. 7, 890028",квартира,465.8,6,1,1976,85:28:7682298:19,17
157,"ст. Заводоуковск, ш. Победа, д. 4, 408386",квартира,292.0,7,22,2019,52:59:3347981:98,289
158,"г. Сибай, ш. Никитина, д. 677 к. 270, 608801",коммерческое,487.7,1,4,2005,39:19:6714198:87,257
159,"клх Середниково, наб. Трактовая, д. 67 к. 6/8, 130554",дом,34.2,5,26,2007,72:39:6969521:80,204
160,"г. Забайкальск, алл. Специалистов, д. 449 к. 71, 735160",коммерческое,301.2,7,3,1987,41:19:2376369:44,"222,96"
161,"с. Чикола, алл. ДОС, д. 980 стр. 8/9, 922169",коммерческое,207.0,6,4,1961,10:49:8461429:56,79
162,"с. Шумиха, ш. Новгородское, д. 7 стр. 5, 226984",квартира,61.9,7,15,2021,81:75:7845845:23,53
163,"п. Карталы, бул. Ленина, д. 3 стр. 98, 158799",коммерческое,64.7,10,26,1991,59:11:5896386:62,182
164,"ст. Ребриха, пер. Загородный, д. 162, 342442",коммерческое,452.5,4,19,2016,31:97:7387623:31,44
165,"п. Урай, наб. Докучаева, д. 498, 384066",дом,256.7,2,6,2005,45:63:6029008:71,155
166,"д. Белореченск, бул. Ударный, д. 89, 598933",дом,473.2,8,20,1975,68:23:3273137:48,185
167,"п. Бугуруслан, алл. Виноградная, д. 1/7, 842294",дом,424.0,7,26,1992,66:52:8224541:93,203
168,"с. Елец, алл. Энергетиков, д. 894, 158328",дом,309.5,4,16,1990,32:60:6354241:47,"70,154"
169,"с. Урус-Мартан, пр. Звездный, д. 4 стр. 65, 439878",коммерческое,395.3,6,13,1985,60:56:2910720:82,252
170,"клх Нефтекамск, алл. Петровская, д. 256 к. 5/9, 085887",квартира,347.2,9,1,2009,36:66:5887726:98,280
171,"к. Калуга, пер. Нижний, д. 928 к. 413, 138612",коммерческое,259.7,5,8,1982,94:29:8098909:58,210
172,"клх Надым, ул. Уральская, д. 924, 934667",коммерческое,212.4,9,30,2003,79:14:7031903:99,246
173,"к. Анадырь, бул. Стадионный, д. 191 к. 258, 491476",квартира,389.1,6,6,1955,82:92:7704473:52,"275,44"
174,"с. Енисейск, алл. Геологическая, д. 9/5 стр. 64, 882100",квартира,67.3,4,17,2016,81:84:4708297:67,"221,55"
175,"к. Касимов, бул. Чайковского, д. 96 стр. 32, 943129",коммерческое,302.5,9,5,1994,13:71:2754047:47,238
176,"клх Усть-Баргузин, наб. Ленинградская, д. 2, 975523",квартира,419.0,3,12,1989,53:68:4470657:76,44
177,"д. Братск, наб. Вахитова, д. 6/5, 995562",квартира,230.3,8,11,1958,48:15:2930810:12,244
178,"п. Кижи, бул. Спартака, д. 6 стр. 85, 754781",коммерческое,137.1,3,18,1970,52:81:8153291:69,"56,85"
179,"ст. Лазаревское, пер. Курортный, д. 2, 080996",коммерческое,108.5,7,13,1953,88:35:8542617:85,208
180,"д. Крымск, пер. Дорожников, д. 75 стр. 59, 788165",коммерческое,123.1,5,25,1958,83:23:4136665:56,3
181,"ст. Эльбрус, алл. Казачья, д. 3/3 стр. 67, 373145",квартира,145.9,8,17,1990,86:59:7585795:85,235
182,"клх Каргасок, ш. Ватутина, д. 8/8 стр. 205, 498926",дом,316.3,5,30,1960,96:27:6254384:25,181
183,"д. Буйнакск, наб. Достоевского, д. 78 стр. 6, 790827",квартира,199.2,3,17,1999,63:86:3313029:83,60
184,"г. Токсово, наб. Ульяновская, д. 32 стр. 2, 651777",дом,325.0,3,18,1971,72:46:3353785:33,96
185,"клх Приморско-Ахтарск, алл. Московская, д. 39, 809202",коммерческое,45.7,6,1,2012,27:34:7441514:81,231
186,"д. Плес, пер. Степной, д. 2 стр. 87, 236929",дом,348.7,7,23,2006,72:31:2386982:82,254
187,"п. Неплюевка, пер. Верхний, д. 76 к. 11, 886291",дом,35.7,4,18,1986,31:68:9309978:80,113
188,"д. Шатура, ш. Толбухина, д. 317, 686508",квартира,148.6,9,27,1996,79:15:8404902:79,294
189,"ст. Старая Русса, наб. Гражданская, д. 3/5 к. 4/2, 986430",квартира,373.3,4,10,1954,67:43:6848151:21,218
190,"д. Алагир, бул. Высокий, д. 7 к. 2, 694486",квартира,120.7,10,23,1994,88:90:8183451:31,61
191,"клх Переславль-Залесский, пр. Клары Цеткин, д. 95, 449562",квартира,406.6,10,12,2018,45:86:3824903:51,106
192,"с. Жиганск, алл. Тукая, д. 6/9, 260127",коммерческое,148.3,9,29,1962,27:62:1994652:45,"150,149"
193,"г. Кулу, наб. Российская, д. 966, 902770",квартира,90.2,6,27,1981,96:60:9211754:28,"65,68"
194,"п. Асбест, пер. Инженерный, д. 60 стр. 30, 465669",коммерческое,218.8,8,3,1961,61:75:5667852:98,138
195,"клх Боровск, пер. Балтийский, д. 6, 393769",дом,177.1,1,28,1961,68:91:7009980:18,"189,233"
196,"п. Плесецк, ул. Станционная, д. 6 стр. 984, 769735",квартира,484.7,4,16,1984,51:46:6666591:80,204
197,"д. Армавир, ул. Отрадная, д. 463 к. 7, 880434",дом,398.4,1,2,1962,90:68:1273155:25,290
198,"клх Неплюевка, пер. Водопроводный, д. 6/6, 942373",дом,20.3,7,7,1966,93:48:3667199:45,"81,226"
199,"ст. Кунгур, алл. Краснознаменная, д. 69, 111790",дом,59.6,3,2,2000,90:49:4928281:64,185
200,"к. Юровск, пр. Прохладный, д. 3/9 к. 7, 920867",квартира,122.4,2,5,1978,76:97:8466983:11,49
201,"с. Ивдель, ул. Бажова, д. 1 к. 236, 594284",квартира,494.3,7,23,1966,71:19:4841091:59,176
202,"с. Элиста, наб. Воронежская, д. 7/4 к. 6/6, 472929",квартира,170.4,5,5,1998,27:92:3396676:18,53
203,"клх Куртамыш, пер. Космодемьянской, д. 4/3, 702672",коммерческое,332.0,8,12,1977,90:29:7907345:88,5
204,"к. Красновишерск, ш. Коммунистическое, д. 2/3 стр. 834, 754558",квартира,450.4,3,25,1965,85:59:6897789:64,112
205,"г. Приозерск, наб. Выгонная, д. 64, 877169",квартира,152.9,2,8,2020,86:86:5780177:98,72
206,"клх Долинск, бул. Энтузиастов, д. 7/2, 253554",квартира,268.5,9,7,2000,47:92:1915518:40,155
207,"к. Саянск, бул. Курчатова, д. 3/3 к. 523, 326111",квартира,259.8,10,3,2017,11:56:6309530:26,58
208,"г. Переславль-Залесский, ш. Народное, д. 349 стр. 464, 472282",дом,195.4,3,25,2010,19:12:2133008:11,292
209,"клх Новомосковск, ш. Металлургов, д. 9/5 к. 3/9, 997968",квартира,475.4,7,17,1986,90:74:7969792:64,21
210,"с. Улан-Удэ, ш. Родниковое, д. 5/6, 424008",коммерческое,277.6,10,5,1985,20:49:2325761:75,43
211,"к. Соболево, ул. Победа, д. 5/1 стр. 5/4, 853686",дом,207.6,2,10,2005,40:17:5101689:21,"80,275"
212,"п. Охотск, алл. Механическая, д. 963 к. 5, 631224",коммерческое,312.2,5,22,1972,25:11:3302031:99,"60,233"
213,"д. Семлячики, бул. Победа, д. 15 к. 90, 214427",дом,271.0,5,6,1997,26:44:2980663:13,255
214,"г. Ейск, пр. Тамбовский, д. 7, 757051",дом,271.5,5,23,2023,90:19:9323974:68,220
215,"к. Павловский Посад, пер. Чайкиной, д. 53, 013673",дом,432.5,3,12,1970,42:23:2934976:39,29
216,"с. Витим, бул. Снежный, д. 7/5 стр. 3, 881474",квартира,432.2,1,8,1955,70:56:7425329:29,2
217,"г. Кежма, алл. Блюхера, д. 1, 491630",коммерческое,405.5,7,8,1991,41:63:6367620:44,19
218,"клх Шамары, наб. Родниковая, д. 82, 950052",квартира,261.0,1,6,1978,76:15:7726402:18,"293,191"
219,"с. Кировск (Мурм.), пер. Белинского, д. 4/1 к. 6/3, 077848",дом,61.5,8,1,1997,35:47:6098752:89,"145,160"
220,"д. Казань, наб. Шевченко, д. 5/9 стр. 91, 744857",коммерческое,486.5,4,24,2019,41:29:1107003:62,189
221,"клх Кабанск, пер. Жданова, д. 25, 387829",дом,325.3,1,11,1950,94:58:6159172:23,278
222,"с. Москва, МГУ, ул. Ленинградская, д. 122, 173109",дом,256.2,1,5,1985,21:15:4883465:76,122
223,"д. Юрюзань, пер. Таманский, д. 253 стр. 237, 058650",дом,487.8,2,19,1962,74:27:7616116:19,191
224,"клх Бреды, ул. Полтавская, д. 913 к. 4/4, 928861",дом,338.0,3,8,1987,43:50:7592651:99,32
