property_id,address,property_type,area,rooms,floor,build_year,cadastral_number,owner_info
19,"п. Чокурдах, ул. Ульяновская, д. 9, 369026",Коммерческое,148.1,4,1,1961,47:38:524045:709,"[{""owner_id"": 244, ""share"": 1.0}]"
20,"п. Хабаровск, пер. Правды, д. 880 стр. 6/5, 943535",Дом,105.2,5,12,2004,80:52:468900:720,"[{""owner_id"": 298, ""share"": 1.0}]"
21,"к. Гатчина, алл. 9 Января, д. 6/2 стр. 9, 579376",Дом,61.5,2,11,1965,78:98:294143:197,"[{""owner_id"": 157, ""share"": 1.0}]"
22,"д. Костомукша, бул. Придорожный, д. 5 к. 6, 166829",Дом,150.4,5,20,1986,22:34:410636:233,"[{""owner_id"": 248, ""share"": 1.0}]"
23,"п. Серафимович, алл. Киевская, д. 5/9, 120602",Квартира,147.4,2,9,1955,16:80:406327:715,"[{""owner_id"": 155, ""share"": 1.0}]"
24,"д. Туруханск, пр. 40 лет Октября, д. 96 к. 24, 599910",Дом,81.3,1,9,2011,24:18:520172:504,"[{""owner_id"": 252, ""share"": 0.56}, {""owner_id"": 53, ""share"": 0.21}, {""owner_id"": 7, ""share"": 0.23}]"
25,"с. Поронайск, пр. Спартака, д. 8 стр. 92, 209957",Квартира,46.9,5,10,1960,41:25:685181:783,"[{""owner_id"": 28, ""share"": 1.0}]"
26,"с. Игнашино, бул. Заливный, д. 834 стр. 1, 456522",Коммерческое,88.5,4,10,2004,49:82:751194:62,"[{""owner_id"": 116, ""share"": 1.0}]"
27,"с. Торжок, пер. Матросова, д. 354 к. 844, 324491",Квартира,132.6,3,22,1960,30:40:282256:566,"[{""owner_id"": 51, ""share"": 1.0}]"
28,"п. Владикавказ, пер. Тукая, д. 10, 070534",Дом,101.1,5,16,1987,14:39:402099:724,"[{""owner_id"": 2, ""share"": 1.0}]"
29,"д. Грозный, наб. Рябиновая, д. 876 к. 2, 415131",Квартира,143.7,3,21,1975,64:24:671015:231,"[{""owner_id"": 233, ""share"": 1.0}]"
30,"д. Нарткала, пр. Уральский, д. 1 к. 2/9, 380032",Квартира,32.9,2,10,2022,46:66:230394:480,"[{""owner_id"": 137, ""share"": 1.0}]"
31,"клх Каменск-Уральский, пр. Деповский, д. 3/8 к. 3, 183061",Дом,110.1,4,15,1960,86:15:553014:753,"[{""owner_id"": 207, ""share"": 1.0}]"
32,"клх Избербаш, пр. Механический, д. 4/6, 824347",Квартира,36.4,5,19,1952,96:44:704238:42,"[{""owner_id"": 129, ""share"": 1.0}]"
33,"д. Новомосковск, пр. Калинина, д. 531 стр. 8/6, 612751",Дом,184.9,2,19,2005,91:72:195674:482,"[{""owner_id"": 90, ""share"": 0.52}, {""owner_id"": 241, ""share"": 0.48}]"
34,"клх Губкин, ш. Восьмого Марта, д. 4/1 к. 5, 608545",Дом,140.6,2,11,2002,98:73:402218:679,"[{""owner_id"": 171, ""share"": 1.0}]"
35,"ст. Саратов, пр. Троицкий, д. 447 к. 1, 763928",Квартира,194.6,4,17,1950,94:79:584417:424,"[{""owner_id"": 282, ""share"": 0.17}, {""owner_id"": 19, ""share"": 0.26}, {""owner_id"": 233, ""share"": 0.57}]"
36,"д. Щелково, алл. Южная, д. 661 к. 9, 083583",Дом,132.1,4,21,2006,16:36:380028:563,"[{""owner_id"": 266, ""share"": 1.0}]"
37,"ст. Киржач, ш. Алтайское, д. 6 к. 4/9, 000818",Дом,178.6,4,4,1953,90:87:938141:246,"[{""owner_id"": 148, ""share"": 1.0}]"
38,"г. Енисейск, наб. Железнодорожная, д. 13 к. 2, 624111",Дом,36.8,1,15,1965,92:29:622584:956,"[{""owner_id"": 160, ""share"": 0.11}, {""owner_id"": 283, ""share"": 0.89}]"
39,"г. Урай, алл. Кубанская, д. 4/5 стр. 7, 447314",Дом,196.4,2,15,2020,28:59:299869:944,"[{""owner_id"": 261, ""share"": 0.43}, {""owner_id"": 140, ""share"": 0.57}]"
40,"к. Рубцовск, алл. Плеханова, д. 8, 883607",Квартира,69.7,4,11,2014,44:10:396578:744,"[{""owner_id"": 70, ""share"": 1.0}]"
41,"ст. Усмань, ул. Докучаева, д. 19 стр. 4/8, 791452",Коммерческое,108.1,2,15,2018,71:54:448588:566,"[{""owner_id"": 297, ""share"": 1.0}]"
42,"д. Зеленогорск (Ленин.), ш. Пожарского, д. 31, 978930",Квартира,196.5,2,19,1999,39:62:145767:326,"[{""owner_id"": 194, ""share"": 0.85}, {""owner_id"": 234, ""share"": 0.15}]"
43,"с. Минусинск, наб. Короткая, д. 759 стр. 943, 875357",Коммерческое,196.5,4,2,1966,74:85:448121:891,"[{""owner_id"": 196, ""share"": 0.89}, {""owner_id"": 198, ""share"": 0.11}]"
44,"г. Рославль, ул. Менделеева, д. 30 стр. 823, 067287",Квартира,114.7,4,1,1968,62:93:261859:77,"[{""owner_id"": 226, ""share"": 1.0}]"
45,"с. Алдан, ул. Демьяна Бедного, д. 5 к. 6, 248395",Дом,132.2,4,21,1960,52:96:659543:390,"[{""owner_id"": 136, ""share"": 1.0}]"
46,"с. Касимов, бул. Театральный, д. 88 к. 356, 710433",Коммерческое,185.8,2,24,1961,65:22:897305:649,"[{""owner_id"": 250, ""share"": 0.59}, {""owner_id"": 278, ""share"": 0.15}, {""owner_id"": 19, ""share"": 0.26}]"
47,"к. Витим, пер. Семашко, д. 61, 503446",Дом,182.6,1,11,1957,47:55:493049:442,"[{""owner_id"": 52, ""share"": 0.23}, {""owner_id"": 228, ""share"": 0.77}]"
48,"д. Печенга, пер. Краснознаменный, д. 292 к. 34, 912896",Дом,121.9,2,6,1972,20:88:501126:635,"[{""owner_id"": 272, ""share"": 1.0}]"
49,"ст. Энгельс, пр. Санаторный, д. 40 стр. 31, 270510",Коммерческое,45.8,4,21,1982,68:42:799233:10,"[{""owner_id"": 255, ""share"": 1.0}]"
50,"с. Солнечногорск, наб. Громова, д. 738 к. 7/8, 485819",Квартира,33.3,3,19,1988,91:64:823846:257,"[{""owner_id"": 239, ""share"": 0.64}, {""owner_id"": 148, ""share"": 0.36}]"
51,"клх Лабинск, алл. Николаева, д. 8/5 стр. 686, 057563",Квартира,199.9,4,4,1980,58:83:476395:589,"[{""owner_id"": 155, ""share"": 1.0}]"
52,"к. Инта, ул. Привольная, д. 6/9 стр. 50, 154809",Квартира,196.0,4,9,1951,82:97:916118:763,"[{""owner_id"": 152, ""share"": 1.0}]"
53,"клх Кырен, пр. Розы Люксембург, д. 144 стр. 879, 278105",Коммерческое,54.2,3,22,1967,90:22:757937:662,"[{""owner_id"": 255, ""share"": 0.59}, {""owner_id"": 147, ""share"": 0.17}, {""owner_id"": 118, ""share"": 0.24}]"
54,"клх Ижевск, ул. Маркса Карла, д. 107, 184390",Квартира,124.3,2,3,1987,51:63:284171:206,"[{""owner_id"": 226, ""share"": 1.0}]"
55,"клх Зеленогорск (Ленин.), бул. Осипенко, д. 166 стр. 338, 127049",Дом,115.6,3,6,1982,71:47:882824:892,"[{""owner_id"": 277, ""share"": 1.0}]"
56,"п. Агинское (Забайк.), наб. 60 лет Октября, д. 257 к. 2/2, 212590",Дом,193.3,2,25,1978,96:96:516716:991,"[{""owner_id"": 59, ""share"": 1.0}]"
57,"п. Озеры, ул. Лазурная, д. 4 к. 14, 424295",Дом,22.5,5,4,2008,57:96:885395:689,"[{""owner_id"": 286, ""share"": 0.17}, {""owner_id"": 188, ""share"": 0.83}]"
58,"ст. Калач, алл. Тепличная, д. 5 к. 5/2, 595587",Коммерческое,189.3,1,22,1979,70:13:749641:906,"[{""owner_id"": 196, ""share"": 1.0}]"
59,"ст. Черняховск, алл. Союзная, д. 6/5 к. 95, 183437",Коммерческое,74.4,4,4,1967,15:14:419149:505,"[{""owner_id"": 168, ""share"": 0.61}, {""owner_id"": 114, ""share"": 0.19}, {""owner_id"": 33, ""share"": 0.2}]"
60,"г. Томпа, бул. Производственный, д. 3/8 стр. 6, 905150",Коммерческое,44.4,4,12,2019,63:85:878325:745,"[{""owner_id"": 121, ""share"": 1.0}]"
61,"с. Наро-Фоминск, бул. Сиреневый, д. 55 к. 97, 079799",Коммерческое,37.8,4,20,2002,45:14:823811:380,"[{""owner_id"": 213, ""share"": 1.0}]"
62,"с. Корсаков, бул. Королева, д. 8 к. 5/1, 816649",Квартира,174.0,1,22,1997,79:92:476096:63,"[{""owner_id"": 228, ""share"": 1.0}]"
63,"п. Тобольск, наб. Выгонная, д. 62, 142576",Квартира,190.8,4,3,1977,92:91:726152:995,"[{""owner_id"": 98, ""share"": 1.0}]"
64,"г. Дубна, алл. Мичурина, д. 2, 336132",Квартира,198.0,5,7,1958,80:36:714867:222,"[{""owner_id"": 171, ""share"": 1.0}]"
65,"с. Ессентуки, ул. Ермака, д. 4/8 к. 8/4, 625265",Коммерческое,20.5,2,5,2019,42:32:215266:677,"[{""owner_id"": 120, ""share"": 0.72}, {""owner_id"": 169, ""share"": 0.28}]"
66,"д. Партизанск, ул. Белинского, д. 1/4 стр. 63, 580996",Квартира,126.0,1,6,1983,16:26:877747:432,"[{""owner_id"": 68, ""share"": 0.39}, {""owner_id"": 8, ""share"": 0.61}]"
67,"п. Тамбов, ул. Ульяновская, д. 7, 562624",Дом,100.7,3,17,1963,67:74:332311:969,"[{""owner_id"": 33, ""share"": 1.0}]"
68,"клх Ставрополь, наб. 60 лет СССР, д. 72, 715160",Дом,102.4,1,2,2011,61:64:819425:111,"[{""owner_id"": 267, ""share"": 1.0}]"
69,"п. Цимлянск, пр. Смирнова, д. 776 стр. 546, 978575",Квартира,181.9,3,20,1968,18:26:388375:640,"[{""owner_id"": 228, ""share"": 1.0}]"
70,"ст. Инта, пер. Пархоменко, д. 620 к. 4, 607401",Коммерческое,78.5,5,17,1987,68:74:734836:441,"[{""owner_id"": 281, ""share"": 1.0}]"
71,"к. Белогорск (Амур.), бул. Павлова, д. 7 стр. 5, 842456",Коммерческое,137.2,5,24,1977,65:67:339592:424,"[{""owner_id"": 59, ""share"": 1.0}]"
72,"к. Макаров, ул. Боровая, д. 1 стр. 4/3, 812276",Дом,94.9,1,11,2004,50:95:367271:384,"[{""owner_id"": 233, ""share"": 1.0}]"
73,"с. Южно-Курильск, ш. Гафури, д. 615, 291681",Квартира,154.0,3,5,2021,17:85:688866:576,"[{""owner_id"": 243, ""share"": 0.77}, {""owner_id"": 35, ""share"": 0.1}, {""owner_id"": 47, ""share"": 0.13}]"
74,"с. Петухово, алл. Иркутская, д. 461, 498830",Дом,83.6,4,24,1956,46:86:427626:361,"[{""owner_id"": 63, ""share"": 1.0}]"
75,"п. Сальск, бул. Производственный, д. 9 к. 396, 406306",Квартира,47.9,4,8,1963,54:81:485415:118,"[{""owner_id"": 260, ""share"": 1.0}]"
76,"к. Славянск-на-Кубани, ш. Карла Маркса, д. 133 стр. 4, 949796",Коммерческое,195.4,5,20,2021,13:87:789786:850,"[{""owner_id"": 294, ""share"": 0.75}, {""owner_id"": 116, ""share"": 0.25}]"
77,"с. Усть-Ордынский, наб. 50 лет Октября, д. 6, 277382",Квартира,69.2,3,11,1994,10:33:250210:580,"[{""owner_id"": 15, ""share"": 1.0}]"
78,"с. Аршан (Бурят.), ш. Крестьянское, д. 9/6 стр. 638, 457702",Квартира,153.4,1,3,2017,37:58:540226:465,"[{""owner_id"": 36, ""share"": 1.0}]"
79,"д. Рыбинск, ш. Солнечное, д. 9 к. 4/7, 691163",Дом,149.9,5,20,1960,16:29:265056:773,"[{""owner_id"": 190, ""share"": 1.0}]"
80,"д. Льгов, ш. Аэродромное, д. 9/7, 369455",Дом,99.8,4,16,2006,63:44:326040:774,"[{""owner_id"": 42, ""share"": 1.0}]"
81,"д. Тюмень, пр. Хвойный, д. 8/8 стр. 8, 264085",Дом,40.0,5,16,2017,95:49:147623:226,"[{""owner_id"": 177, ""share"": 1.0}]"
82,"клх Внуково (метеост.), пер. Правды, д. 7/4 к. 393, 996059",Квартира,56.8,2,25,1967,42:47:444061:123,"[{""owner_id"": 29, ""share"": 1.0}]"
83,"д. Якша, бул. Социалистический, д. 1 к. 9/9, 275327",Квартира,43.3,5,23,1979,74:81:973835:685,"[{""owner_id"": 221, ""share"": 1.0}]"
84,"п. Магадан, ул. Ясная, д. 8/4, 327819",Квартира,98.5,4,3,1990,83:64:701253:415,"[{""owner_id"": 37, ""share"": 0.79}, {""owner_id"": 204, ""share"": 0.21}]"
85,"п. Славянск-на-Кубани, ул. Набережная, д. 868 стр. 2/7, 819807",Квартира,193.9,2,20,2008,98:56:192410:448,"[{""owner_id"": 214, ""share"": 0.19}, {""owner_id"": 149, ""share"": 0.81}]"
86,"к. Пермь, ш. Вокзальное, д. 7 стр. 7/2, 249125",Коммерческое,34.2,3,24,1993,38:52:916964:173,"[{""owner_id"": 125, ""share"": 0.57}, {""owner_id"": 224, ""share"": 0.43}]"
87,"п. Королев, алл. Путевая, д. 851 к. 4/5, 475749",Коммерческое,111.8,3,12,1968,40:23:253557:263,"[{""owner_id"": 59, ""share"": 1.0}]"
88,"ст. Дивногорск, пер. Рязанский, д. 635, 429477",Коммерческое,33.6,4,15,2022,84:67:814220:947,"[{""owner_id"": 79, ""share"": 1.0}]"
89,"клх Губкин, пер. Гагарина, д. 5/4, 394290",Квартира,104.4,3,9,1957,55:74:177794:318,"[{""owner_id"": 166, ""share"": 0.22}, {""owner_id"": 162, ""share"": 0.78}]"
90,"клх Тикси, ш. Кольцова, д. 3/6 стр. 99, 856728",Квартира,86.4,3,3,1961,88:86:631699:394,"[{""owner_id"": 20, ""share"": 1.0}]"
91,"с. Оленегорск (Якут.), бул. Ключевой, д. 4, 332491",Коммерческое,181.3,4,19,1974,51:87:598733:514,"[{""owner_id"": 284, ""share"": 1.0}]"
92,"с. Сибай, бул. Первомайский, д. 63 стр. 661, 488810",Дом,38.6,3,23,1960,74:92:280941:41,"[{""owner_id"": 32, ""share"": 1.0}]"
93,"п. Красноуральск, алл. Владимирская, д. 37 стр. 994, 131284",Дом,114.3,5,6,1996,57:46:506235:419,"[{""owner_id"": 225, ""share"": 1.0}]"
94,"п. Корсаков, ш. Беляева, д. 2/9 стр. 451, 171731",Квартира,120.4,4,10,1982,94:87:257677:342,"[{""owner_id"": 27, ""share"": 0.15}, {""owner_id"": 172, ""share"": 0.85}]"
95,"к. Хатанга, пер. Парижской Коммуны, д. 873, 469472",Дом,75.8,4,5,1960,49:81:494976:659,"[{""owner_id"": 73, ""share"": 1.0}]"
96,"д. Листвянка (Иркут.), наб. Путевая, д. 55 стр. 8, 270587",Коммерческое,96.2,3,1,1996,49:33:324597:350,"[{""owner_id"": 66, ""share"": 0.17}, {""owner_id"": 270, ""share"": 0.83}]"
97,"п. Бологое, бул. Свободы, д. 975 к. 23, 348458",Дом,172.0,1,17,2019,77:14:794083:345,"[{""owner_id"": 249, ""share"": 0.9}, {""owner_id"": 99, ""share"": 0.08}, {""owner_id"": 116, ""share"": 0.02}]"
98,"клх Малгобек, алл. Поселковая, д. 3 стр. 36, 925879",Квартира,169.6,5,6,2006,15:62:481995:693,"[{""owner_id"": 68, ""share"": 0.22}, {""owner_id"": 193, ""share"": 0.78}]"
99,"п. Кулу, ш. Лермонтова, д. 3 к. 6, 574696",Дом,62.1,2,10,2010,34:57:811256:970,"[{""owner_id"": 228, ""share"": 0.7}, {""owner_id"": 146, ""share"": 0.3}]"
100,"ст. Печора, пр. 40 лет Октября, д. 57, 334450",Дом,158.5,4,17,2017,63:30:956572:205,"[{""owner_id"": 226, ""share"": 1.0}]"
101,"ст. Онега, пер. Крымский, д. 99 к. 5/2, 325797",Дом,177.3,5,4,2016,25:46:187949:782,"[{""owner_id"": 71, ""share"": 0.14}, {""owner_id"": 129, ""share"": 0.86}]"
102,"клх Суздаль, наб. Менделеева, д. 610, 857417",Коммерческое,46.5,4,3,1978,67:54:127965:425,"[{""owner_id"": 231, ""share"": 1.0}]"
103,"к. Псебай, ш. Короткое, д. 4, 735984",Дом,62.4,1,12,1978,13:50:203896:860,"[{""owner_id"": 258, ""share"": 1.0}]"
104,"п. Борзя, бул. Матросова, д. 8 стр. 62, 375534",Дом,185.1,4,23,1967,70:67:745239:6,"[{""owner_id"": 172, ""share"": 0.21}, {""owner_id"": 75, ""share"": 0.79}]"
105,"п. Голицыно, пр. Войкова, д. 8/1 стр. 185, 085874",Коммерческое,129.6,4,4,1986,40:48:227767:49,"[{""owner_id"": 10, ""share"": 0.77}, {""owner_id"": 132, ""share"": 0.12}, {""owner_id"": 111, ""share"": 0.11}]"
106,"клх Буденновск, ул. Урожайная, д. 28 стр. 4/2, 477251",Квартира,40.0,4,20,2018,12:90:640410:589,"[{""owner_id"": 235, ""share"": 1.0}]"
107,"с. Тулун, бул. Космодемьянской, д. 569 стр. 196, 356243",Дом,97.3,5,12,1980,83:63:296412:681,"[{""owner_id"": 74, ""share"": 1.0}]"
108,"клх Кандалакша, наб. Амурская, д. 42 стр. 3, 089028",Дом,32.2,5,18,2014,74:80:121322:400,"[{""owner_id"": 269, ""share"": 1.0}]"
109,"к. Можга, бул. Снежный, д. 34, 433502",Дом,154.5,3,3,1994,40:94:758775:107,"[{""owner_id"": 23, ""share"": 0.88}, {""owner_id"": 199, ""share"": 0.12}]"
110,"ст. Оймякон, пр. Снежный, д. 1/8, 633691",Коммерческое,80.9,2,25,2009,99:71:762423:187,"[{""owner_id"": 171, ""share"": 0.14}, {""owner_id"": 69, ""share"": 0.86}]"
111,"д. Чегем, пер. Индустриальный, д. 23 стр. 6/6, 331857",Квартира,27.9,2,2,1990,49:75:517568:835,"[{""owner_id"": 33, ""share"": 0.13}, {""owner_id"": 235, ""share"": 0.87}]"
112,"с. Амурск, пр. Фадеева, д. 2/6, 416431",Квартира,155.6,2,10,1995,16:93:448048:280,"[{""owner_id"": 130, ""share"": 1.0}]"
113,"г. Кырен, бул. Шевченко, д. 323 стр. 328, 700934",Дом,180.1,4,13,1993,33:73:825686:510,"[{""owner_id"": 189, ""share"": 1.0}]"
114,"ст. Ербогачен, алл. Локомотивная, д. 62 к. 820, 465495",Дом,164.2,4,3,2005,87:33:671971:301,"[{""owner_id"": 266, ""share"": 1.0}]"
115,"к. Арсеньев, ул. Средняя, д. 1/9 к. 9/3, 105316",Дом,139.0,3,15,2004,31:98:565471:360,"[{""owner_id"": 41, ""share"": 1.0}]"
116,"с. Слюдянка, ш. Щетинкина, д. 19 к. 8, 425859",Коммерческое,199.7,3,21,1957,19:95:768480:416,"[{""owner_id"": 181, ""share"": 1.0}]"
117,"с. Холмогоры, алл. Новосельская, д. 42, 164913",Квартира,45.7,5,22,2006,14:26:170499:242,"[{""owner_id"": 82, ""share"": 1.0}]"
118,"п. Малоярославец, бул. Леонова, д. 3 к. 7, 290603",Коммерческое,25.8,2,22,2007,57:57:565504:782,"[{""owner_id"": 188, ""share"": 0.41}, {""owner_id"": 186, ""share"": 0.59}]"
119,"п. Асбест, алл. М.Горького, д. 1, 753967",Коммерческое,86.1,3,21,1985,41:24:127172:754,"[{""owner_id"": 71, ""share"": 1.0}]"
120,"д. Кулу, пр. Пригородный, д. 9 стр. 6, 457871",Дом,184.4,1,9,1983,67:37:741599:293,"[{""owner_id"": 266, ""share"": 1.0}]"
121,"г. Норильск, бул. Заводской, д. 41 к. 2/2, 254768",Квартира,42.1,1,15,1972,66:21:949884:699,"[{""owner_id"": 252, ""share"": 1.0}]"
122,"с. Тихорецк, алл. Минская, д. 935, 988085",Дом,173.2,2,12,2015,38:25:310743:812,"[{""owner_id"": 164, ""share"": 0.54}, {""owner_id"": 178, ""share"": 0.18}, {""owner_id"": 34, ""share"": 0.28}]"
123,"к. Ершов, бул. Мелиоративный, д. 92, 340646",Квартира,85.0,5,12,2009,80:26:741674:906,"[{""owner_id"": 253, ""share"": 1.0}]"
124,"с. Москва, МГУ, бул. Чкалова, д. 914, 399106",Дом,199.9,4,17,2002,62:83:177333:129,"[{""owner_id"": 159, ""share"": 1.0}]"
125,"с. Железногорск(Курск.), пр. Большой, д. 7/4, 513426",Коммерческое,135.2,2,25,1966,65:74:158104:852,"[{""owner_id"": 38, ""share"": 0.64}, {""owner_id"": 231, ""share"": 0.16}, {""owner_id"": 239, ""share"": 0.2}]"
126,"п. Сасово, бул. Томский, д. 1, 848197",Дом,49.6,3,23,1978,54:76:397846:867,"[{""owner_id"": 79, ""share"": 1.0}]"
127,"к. Гремячинск (Бурят.), бул. Смирнова, д. 61 стр. 1, 417692",Коммерческое,192.1,3,5,1988,88:78:197966:515,"[{""owner_id"": 101, ""share"": 1.0}]"
128,"п. Троицк (Моск.), ул. Гастелло, д. 77, 014448",Квартира,50.8,5,24,1993,82:15:965322:885,"[{""owner_id"": 298, ""share"": 1.0}]"
129,"клх Красногорск (Моск.), ул. Полевая, д. 873 к. 79, 178996",Коммерческое,158.8,3,21,1976,83:63:748133:655,"[{""owner_id"": 24, ""share"": 1.0}]"
130,"д. Всеволожск, ш. Гражданское, д. 613 стр. 7/1, 779806",Дом,135.5,3,16,1981,97:61:411882:465,"[{""owner_id"": 280, ""share"": 1.0}]"
131,"п. Хасавюрт, ул. Урицкого, д. 146, 455534",Квартира,99.1,4,15,1976,53:87:250647:321,"[{""owner_id"": 31, ""share"": 1.0}]"
132,"к. Серпухов, бул. Механический, д. 93 стр. 7, 271559",Квартира,156.9,5,18,1963,50:40:589131:126,"[{""owner_id"": 164, ""share"": 0.88}, {""owner_id"": 177, ""share"": 0.12}]"
133,"ст. Мелеуз, бул. Революционный, д. 6/8, 634755",Квартира,37.4,3,13,2003,41:30:952993:336,"[{""owner_id"": 127, ""share"": 1.0}]"
134,"ст. Ессентуки, наб. Юбилейная, д. 539, 882691",Дом,178.2,4,1,1961,60:74:579441:990,"[{""owner_id"": 161, ""share"": 0.5}, {""owner_id"": 98, ""share"": 0.25}, {""owner_id"": 82, ""share"": 0.25}]"
135,"г. Шатки, пр. Механический, д. 95 стр. 7, 614991",Дом,28.8,3,16,2010,46:78:108574:868,"[{""owner_id"": 299, ""share"": 1.0}]"
136,"с. Бавлы, пер. Поселковый, д. 1, 333373",Дом,151.0,4,12,1955,61:16:697983:576,"[{""owner_id"": 69, ""share"": 1.0}]"
137,"к. Корсаков, ш. Клары Цеткин, д. 7/9, 628969",Дом,33.2,5,15,2020,45:89:813449:626,"[{""owner_id"": 284, ""share"": 1.0}]"
138,"клх Ногинск (Моск.), пр. Степана Разина, д. 4 к. 9, 125389",Дом,87.2,3,18,1996,28:35:731728:522,"[{""owner_id"": 50, ""share"": 1.0}]"
139,"ст. Терскол, пр. Матросова, д. 693 стр. 57, 797796",Квартира,27.0,3,16,2016,68:29:735710:915,"[{""owner_id"": 21, ""share"": 1.0}]"
140,"г. Уфа, пер. Коммунальный, д. 8 к. 61, 494097",Коммерческое,77.3,4,20,1988,85:53:631958:849,"[{""owner_id"": 168, ""share"": 1.0}]"
141,"с. Кашира, пр. Гоголя, д. 6 стр. 99, 289509",Коммерческое,121.3,4,1,1997,52:96:214928:427,"[{""owner_id"": 251, ""share"": 1.0}]"
142,"д. Голицыно, пер. Вишневый, д. 3/4, 922071",Коммерческое,105.4,5,19,1979,16:84:603787:175,"[{""owner_id"": 14, ""share"": 1.0}]"
143,"г. Печора, бул. Красина, д. 7/8 стр. 35, 452647",Квартира,167.9,2,2,2023,99:24:300051:20,"[{""owner_id"": 195, ""share"": 1.0}]"
144,"к. Петушки, алл. 60 лет Октября, д. 257, 090805",Квартира,94.3,2,14,2014,88:70:989587:754,"[{""owner_id"": 215, ""share"": 1.0}]"
145,"г. Тура, ул. Энгельса, д. 5/1, 123972",Дом,199.7,4,17,1998,50:32:581992:935,"[{""owner_id"": 71, ""share"": 0.27}, {""owner_id"": 266, ""share"": 0.73}]"
146,"г. Елец, наб. Тепличная, д. 3/9 стр. 17, 814415",Дом,141.7,3,20,2011,34:41:392559:572,"[{""owner_id"": 280, ""share"": 1.0}]"
147,"г. Талдом, пер. Поселковый, д. 8, 718153",Дом,146.9,4,11,2011,54:81:934042:739,"[{""owner_id"": 153, ""share"": 1.0}]"
148,"п. Сусуман, ш. 50 лет ВЛКСМ, д. 850, 815899",Коммерческое,141.8,4,13,1994,28:47:144109:295,"[{""owner_id"": 63, ""share"": 1.0}]"
